"YEAR","CASEID","PERNUM","LINENO","WT06","LVWT"
2017,20170101170002,1,1,5217551.138049000,5123249.04054600
2017,20170101170012,1,1,3106847.025657000,0.00000000000000
2017,20170101170027,1,1,16534089.58090500,0.00000000000000
2017,20170101170030,1,1,17570708.41229200,18751570.5985880
2017,20170101170033,1,1,1022275.067132000,1370387.33459400
2017,20170101170079,1,1,2972590.541916000,0.00000000000000
2017,20170101170090,1,1,27197700.07892400,30189723.2822780
2017,20170101170149,1,1,4423196.776542000,5444763.38640100
2017,20170101170520,1,1,4722745.034450000,4635652.90355600
2017,20170101170521,1,1,5431370.814075000,0.00000000000000
2017,20170101170522,1,1,8077136.442570000,4613788.27387700
2017,20170101170539,1,1,10509647.23767100,0.00000000000000
2017,20170101170551,1,1,13808470.49549200,0.00000000000000
2017,20170101170552,1,1,9677181.688621000,10439600.7480870
2017,20170101170572,1,1,15239917.48457300,17556833.9454420
2017,20170101170574,1,1,5723367.297452000,4520020.27953500
2017,20170101170578,1,1,2588655.862933000,0.00000000000000
2017,20170101170595,1,1,2782759.030593000,2071508.64663900
2017,20170101170596,1,1,3578830.298632000,0.00000000000000
2017,20170101170598,1,1,10879294.10002900,10573248.2782850
2017,20170101170612,1,1,6071648.388418000,0.00000000000000
2017,20170101170615,1,1,3086205.292529000,0.00000000000000
2017,20170101170639,1,1,3467373.965210000,0.00000000000000
2017,20170101170651,1,1,5675641.723349000,10882429.3486950
2017,20170101170668,1,1,8540109.950195000,0.00000000000000
2017,20170101170687,1,1,1820336.665302000,1418425.41807600
2017,20170101170688,1,1,5074716.343343000,5007231.13715800
2017,20170101170710,1,1,4260799.951732000,0.00000000000000
2017,20170101170714,1,1,3544165.745737000,0.00000000000000
2017,20170101170726,1,1,4616305.050546000,0.00000000000000
2017,20170101170789,1,1,3403370.964645000,0.00000000000000
2017,20170101170793,1,1,7047939.524252000,4966505.14353300
2017,20170101170795,1,1,9022631.036681000,4854525.02526300
2017,20170101170799,1,1,20080775.16525500,38253132.6745440
2017,20170101170801,1,1,3984071.782016000,4726265.15337000
2017,20170101170805,1,1,6039178.545859000,0.00000000000000
2017,20170101170806,1,1,38284269.39308300,31752134.6184400
2017,20170101170819,1,1,8996832.273902000,6615620.43032800
2017,20170101170830,1,1,10132234.22631300,10896405.5311730
2017,20170101170833,1,1,13105414.46107300,0.00000000000000
2017,20170101170834,1,1,4265993.776459000,5264103.10453900
2017,20170101170836,1,1,12149301.70613800,0.00000000000000
2017,20170101170842,1,1,7616752.694124000,4555820.39285400
2017,20170101170848,1,1,738886.7606560000,0.00000000000000
2017,20170101170855,1,1,3332193.065991000,4365673.87867500
2017,20170101170866,1,1,4920051.278091000,0.00000000000000
2017,20170101170877,1,1,14119534.10679200,0.00000000000000
2017,20170101170887,1,1,13911635.25890800,11980132.0105130
2017,20170101170902,1,1,7271910.238337000,5330084.18217400
2017,20170101170920,1,1,2399180.527869000,0.00000000000000
2017,20170101170921,1,1,17689206.76685400,15840021.0124750
2017,20170101170924,1,1,2705002.997672000,0.00000000000000
2017,20170101170928,1,1,20963217.17079700,0.00000000000000
2017,20170101170933,1,1,3529629.046031000,3048329.76784600
2017,20170101170951,1,1,6274127.586469000,4310812.15952700
2017,20170101170952,1,1,15545438.71693900,0.00000000000000
2017,20170101170970,1,1,5972570.605260000,5823294.41902500
2017,20170101170977,1,1,2833355.895807000,7660764.09454700
2017,20170101170980,1,1,13685276.68314400,0.00000000000000
2017,20170101170982,1,1,1977942.764211000,0.00000000000000
2017,20170101170984,1,1,5607489.142084000,0.00000000000000
2017,20170101170989,1,1,2202373.551485000,2046869.49979500
2017,20170101171004,1,1,3507591.908577000,0.00000000000000
