naics4,naics4_title,flex_speed,flex_start
1111,Oilseed and Grain Farming,0.0,0.0
1112,Vegetable and Melon Farming,0.0,0.0
1113,Fruit and Tree Nut Farming,0.0,0.0
1114,"Greenhouse, Nursery, and Floriculture Production",0.0,0.0
1119,Other Crop Farming,0.0,0.0
1121,Cattle Ranching and Farming,0.0,0.0
1122,Hog and Pig Farming,0.0,0.0
1123,Poultry and Egg Production,0.0,0.0
1124,Sheep and Goat Farming,0.0,0.0
1125,Aquaculture,0.0,0.0
1129,Other Animal Production,0.0,0.0
1131,Timber Tract Operations,0.0,0.0
1132,Forest Nurseries and Gathering of Forest Products,0.0,0.0
1133,Logging,0.0,0.0
1141,Fishing,0.0,0.0
1142,Hunting and Trapping,0.0,0.0
1151,Support Activities for Crop Production,0.0,0.0
1152,Support Activities for Animal Production,0.0,0.0
1153,Support Activities for Forestry,0.0,0.0
2111,Oil and Gas Extraction,0.0,0.2
2121,Coal Mining,0.0,0.0
2122,Metal Ore Mining,0.0,0.5
2123,Nonmetallic Mineral Mining and Quarrying,0.0,1.0
2131,Support Activities for Mining,0.5,0.75
2211,"Electric Power Generation, Transmission and Distribution",0.0,0.16666666666666666
2212,Natural Gas Distribution,0.0,0.5
2213,"Water, Sewage and Other Systems",0.0,0.25
2361,Residential Building Construction,0.0,0.0
2362,Nonresidential Building Construction,0.0,0.0
2371,Utility System Construction,0.0,0.0
2372,Land Subdivision,0.0,0.0
2373,"Highway, Street, and Bridge Construction",0.0,0.0
2379,Other Heavy and Civil Engineering Construction,0.0,0.0
2381,"Foundation, Structure, and Building Exterior Contractors",1.0,1.0
2382,Building Equipment Contractors,1.0,1.0
2383,Building Finishing Contractors,1.0,1.0
2389,Other Specialty Trade Contractors,1.0,1.0
3111,Animal Food Manufacturing,0.0,0.6666666666666666
3112,Grain and Oilseed Milling,0.0,0.0
3113,Sugar and Confectionery Product Manufacturing,0.0,0.6666666666666666
3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,0.0,0.0
3115,Dairy Product Manufacturing,0.0,1.0
3116,Animal Slaughtering and Processing,0.0,1.0
3117,Seafood Product Preparation and Packaging,0.0,0.6666666666666666
3118,Bakeries and Tortilla Manufacturing,0.0,0.6666666666666666
3119,Other Food Manufacturing,0.0,1.0
3121,Beverage Manufacturing,1.0,1.0
3122,Tobacco Manufacturing,0.0,0.5
3131,"Fiber, Yarn, and Thread Mills",0.0,0.0
3132,Fabric Mills,0.0,0.0
3133,Textile and Fabric Finishing and Fabric Coating Mills,0.0,0.0
3141,Textile Furnishings Mills,1.0,0.0
3149,Other Textile Product Mills,0.0,0.0
3151,Apparel Knitting Mills,0.16666666666666666,0.25555555555555554
3152,Cut and Sew Apparel Manufacturing,0.16666666666666666,0.25555555555555554
3159,Apparel Accessories and Other Apparel Manufacturing,0.16666666666666666,0.25555555555555554
3161,Leather and Hide Tanning and Finishing,0.0,0.0
3162,Footwear Manufacturing,0.0,0.0
3169,Other Leather and Allied Product Manufacturing,0.0,0.0
3211,Sawmills and Wood Preservation,0.16666666666666666,0.25555555555555554
